, Llama1-1B, , , ,llama2-7B, , , ,Llama3-8B, , , ,Qwen2.5-0.5B, , , ,Qwen2.5-1.5B, , , ,Qwen2.5-7B, , , ,Geomean, , , , 
, MANT, OliVe, SPARK, SqueezeAct, MANT, OliVe, SPARK, SqueezeAct, MANT, OliVe, SPARK, SqueezeAct, MANT, OliVe, SPARK, SqueezeAct, MANT, OliVe, SPARK, SqueezeAct, MANT, OliVe, SPARK, SqueezeAct, MANT, OliVe, SPARK, Squeeze, 
Time, 1.0000, 0.9546, 0.5038, 0.3863, 1.0000, 0.9546, 0.5235, 0.3465, 1.0000, 0.9546, 0.5289, 0.3874, 1.0000, 0.9173, 0.5020, 0.3309, 1.0000, 0.9546, 0.5017, 0.2743, 1.0000, 0.9546, 0.5020, 0.2480, 1.0000, 0.9484, 0.5103, 0.3289, 

, Llama1-1B, , , ,llama2-7B, , , ,Llama3-8B, , , ,Qwen2.5-0.5B, , , ,Qwen2.5-1.5B, , , ,Qwen2.5-7B, , , ,Geomean, , , , 
, MANT, OliVe, SPARK, SqueezeAct, MANT, OliVe, SPARK, SqueezeAct, MANT, OliVe, SPARK, SqueezeAct, MANT, OliVe, SPARK, SqueezeAct, MANT, OliVe, SPARK, SqueezeAct, MANT, OliVe, SPARK, SqueezeAct, MANT, OliVe, SPARK, Squeeze, 
Static, 0.3313, 0.2942, 0.1552, 0.1190, 0.3552, 0.3154, 0.1730, 0.1145, 0.3558, 0.3160, 0.1751, 0.1282, 0.3262, 0.2784, 0.1523, 0.1004, 0.3312, 0.2941, 0.1546, 0.0845, 0.3428, 0.3044, 0.1601, 0.0791, 0.3404, 0.3004, 0.1617, 0.1043, 
Dram, 0.1818, 0.1566, 0.3167, 0.2593, 0.1106, 0.0862, 0.3282, 0.2345, 0.1090, 0.0847, 0.3305, 0.2609, 0.1883, 0.1609, 0.2997, 0.2305, 0.1791, 0.1533, 0.3249, 0.1798, 0.1504, 0.1262, 0.3041, 0.1583, 0.1532, 0.1280, 0.3173, 0.2206,
Buffer, 0.2348, 0.2183, 0.2171, 0.1775, 0.2638, 0.2453, 0.2417, 0.1892, 0.2643, 0.2457, 0.2447, 0.1974, 0.2372, 0.2205, 0.2124, 0.1656, 0.2376, 0.2209, 0.2161, 0.1603, 0.2458, 0.2286, 0.2237, 0.1621, 0.2472, 0.2299, 0.2260, 0.1753,
Core, 0.2522, 0.2612, 0.2259, 0.1732, 0.2704, 0.2801, 0.2517, 0.1666, 0.2709, 0.2806, 0.2547, 0.1866, 0.2483, 0.2470, 0.2216, 0.1461, 0.2521, 0.2611, 0.2249, 0.1230, 0.2610, 0.2703, 0.2329, 0.1151, 0.2591, 0.2667, 0.2353, 0.1517,

